Metric,Guilty (n=6774),Not Guilty (n=1391),Difference,Statistical Test
Text Length (mean),3616 chars,4775 chars,+32.0%,Mann-Whitney U: p < 0.001
Text Length (median),761 chars,2983 chars,+292.0%,Significant difference
